Date,Open,High,Low,Close,Adj Close,Volume
2015-04-17,233.667007,235.500000,231.800003,234.567001,210.079010,8807338
2015-04-20,234.733002,234.733002,227.067001,227.932999,204.137573,11275531
2015-04-21,227.899994,232.466995,227.332993,227.966995,204.168015,10890328
2015-04-22,226.667007,230.000000,225.699997,228.932999,205.033173,10768515
2015-04-23,228.932999,231.000000,225.533005,228.067001,204.257584,8924629
2015-04-24,228.000000,233.300003,227.432999,231.966995,207.750427,17318818
2015-04-27,232.600006,234.533005,229.466995,229.899994,205.899216,9371889
2015-04-28,229.932999,230.000000,222.399994,225.033005,201.540329,10686607
2015-04-29,223.367004,224.000000,218.199997,218.766998,195.928467,10091041
2015-04-30,218.533005,218.932999,214.132996,214.899994,192.465164,20037666
2015-05-04,215.600006,220.600006,213.399994,220.132996,197.151871,7209372
2015-05-05,219.067001,219.332993,215.733002,217.500000,194.793732,13458043
2015-05-06,217.332993,218.567001,210.800003,212.233002,190.076614,20211861
2015-05-07,212.332993,215.800003,210.399994,215.033005,192.584290,10601880
2015-05-08,217.033005,219.533005,215.100006,218.667007,195.838898,12156900
2015-05-11,220.000000,220.500000,216.266998,217.632996,194.912872,8795974
2015-05-12,218.332993,218.667007,215.399994,216.167007,193.599915,14296276
2015-05-13,217.899994,219.867004,214.000000,218.567001,195.749359,10627956
2015-05-14,218.000000,218.000000,214.932999,216.466995,193.868576,8038297
2015-05-15,216.733002,218.600006,216.567001,217.600006,194.883286,5449191
2015-05-18,218.199997,222.600006,217.500000,222.000000,198.823959,6909570
2015-05-19,221.167007,223.932999,220.500000,221.699997,198.555283,8570938
2015-05-20,221.667007,222.800003,220.332993,221.300003,198.197021,5162050
2015-05-21,222.000000,222.266998,217.332993,218.266998,195.480682,7181827
2015-05-22,219.332993,222.167007,216.966995,219.432999,196.524948,12481645
2015-05-25,214.300003,216.332993,210.932999,211.199997,189.151428,23429841
2015-05-26,211.667007,211.667007,208.500000,209.332993,187.479340,11023632
2015-05-27,210.000000,212.500000,209.332993,211.800003,189.688797,9133684
2015-05-28,212.067001,214.966995,211.000000,214.300003,191.927811,19995216
2015-05-29,214.667007,219.966995,212.432999,218.067001,195.301544,19800852
2015-06-01,217.000000,222.500000,217.000000,221.367004,198.257050,10060566
2015-06-02,219.266998,219.533005,211.733002,212.432999,190.255707,10848667
2015-06-03,209.199997,209.233002,200.399994,202.932999,187.256775,20673919
2015-06-04,203.332993,204.432999,198.800003,201.067001,185.534927,11005213
2015-06-05,200.966995,205.266998,196.667007,202.867004,187.195877,16952341
2015-06-08,204.667007,205.500000,201.500000,202.899994,187.226318,10292947
2015-06-09,201.266998,202.000000,199.800003,200.399994,184.919449,9910851
2015-06-10,200.399994,202.266998,199.067001,200.733002,185.226730,9495678
2015-06-11,201.332993,201.332993,196.800003,198.033005,182.735291,11093535
2015-06-12,197.867004,200.100006,196.667007,198.367004,183.043488,8332143
2015-06-15,198.000000,201.832993,196.000000,199.000000,183.627579,8358516
2015-06-16,198.667007,200.100006,196.832993,199.300003,183.904434,7925889
2015-06-17,199.000000,202.067001,198.167007,200.733002,185.226730,10478310
2015-06-18,200.800003,202.932999,200.132996,201.266998,185.719467,10877230
2015-06-19,201.867004,203.632996,201.600006,203.332993,187.625870,8432328
2015-06-22,204.132996,208.100006,203.132996,206.932999,190.947769,6930591
